Local Government Area,Offence Count
Alpine,318
Ararat,1011
Ballarat,5337
Banyule,4233
Bass Coast,2742
Baw Baw,3193
Bayside,2146
Benalla,1120
Boroondara,2628
Brimbank,10883
Buloke,196
Campaspe,1989
Cardinia,5045
Casey,17444
Central Goldfields,1029
Colac-Otway,1372
Corangamite,672
Darebin,5491
East Gippsland,4290
Frankston,7543
Gannawarra,616
Glen Eira,3191
Glenelg,1073
Golden Plains,467
Greater Bendigo,5867
Greater Dandenong,10433
Greater Geelong,11243
Greater Shepparton,5362
Hepburn,485
Hindmarsh,318
Hobsons Bay,3614
Horsham,1988
Hume,14213
Indigo,399
Kingston,5241
Knox,5721
Latrobe,10392
Loddon,347
Macedon Ranges,1461
Manningham,3078
Mansfield,303
Maribyrnong,2725
Maroondah,4092
Melbourne,7529
Melton,9279
Merri-bek,6701
Mildura,5203
Mitchell,3934
Moira,1378
Monash,5215
Moonee Valley,3741
Moorabool,1614
Mornington Peninsula,5930
Mount Alexander,524
Moyne,548
Murrindindi,615
Nillumbik,1227
Northern Grampians,947
Port Phillip,4327
Pyrenees,319
Queenscliffe,30
South Gippsland,1541
Southern Grampians,901
Stonnington,3020
Strathbogie,493
Surf Coast,698
Swan Hill,2009
Towong,177
Wangaratta,1568
Warrnambool,2469
Wellington,3681
West Wimmera,139
Whitehorse,3949
Whittlesea,11623
Wodonga,2430
Wyndham,10760
Yarra,3420
Yarra Ranges,5575
Yarriambiack,463
